name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svps,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,matchesPlayed
Yan Bai,0.0,0.0,22.0894779416,423.272727273,95.4545454545,1.45454545455,2.0,42.4545454545,23.0909090909,14.9090909091,9.0,6.09090909091,3.54545454545,5.63636363636,11.0
Alexander Blom,0.0,0.0,21.1784031888,744.941176471,2.64705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Diego Galeano,0.0,0.0,18.9242352445,411.153846154,10.2307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
N Vijay Sundar Prashanth,0.0,0.0,28.1916495551,557.0,56.0,0.0,0.0,55.0,28.0,12.0,14.0,8.0,5.0,10.0,1.0
West Nott,0.0,0.0,25.4565366188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Victor Ribas,0.0,0.0,22.6830937714,1327.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fred Simonsson,0.0,0.0,21.620807666,674.0,37.0,4.0,10.0,107.0,55.0,35.0,24.0,15.0,12.0,17.0,1.0
Torsten Popp,0.0,0.0,22.5653661875,255.5,148.5,2.0,10.0,63.5,33.5,20.5,12.0,9.0,5.0,9.5,2.0
Andres Filimonov,0.0,0.0,33.2780287474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Juan Andres Gomez,0.0,0.0,18.681724846,1487.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Diego Hidalgo,0.0,0.0,18.803559206,974.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jorge Villanueva,0.0,0.0,18.9678302533,1523.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Marco Crugnola,0.0,188.0,26.1127081907,274.666666667,226.666666667,0.333333333333,6.33333333333,59.6666666667,35.6666666667,20.3333333333,8.33333333333,9.33333333333,4.0,9.33333333333,3.0
Wilfredo Gonzalez,0.0,0.0,21.8761122519,926.25,4.75,3.5,3.75,64.75,42.25,29.75,10.25,10.0,3.5,5.75,4.0
Mik Ledvonova,0.0,0.0,21.7038558065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Filip Urban,0.0,193.0,22.2429842574,716.75,34.25,1.25,1.5,34.5,19.5,13.5,5.75,5.0,1.5,3.5,4.0
Henri Kontinen,0.0,0.0,19.3140630759,816.230769231,77.6153846154,1.46153846154,0.923076923077,17.9230769231,10.3846153846,7.15384615385,3.30769230769,2.76923076923,1.30769230769,2.15384615385,13.0
