name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svps,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,matchesPlayed
Sam Barry,0.0,0.0,21.9438740589,509.0,75.4444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Marc Rosset,0.913669064748,201.0,30.8050758572,73.5971223022,620.28057554,10.1582733813,6.5035971223,74.7841726619,42.5971223022,33.1223021583,15.1294964029,11.8201438849,3.74100719424,5.95683453237,139.0
Bob Borella,0.0,0.0,19.9397672827,1149.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Philippos Tsangaridis,0.0,0.0,18.1984941821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Musaad Al Jazzaf,0.0,0.0,18.2532511978,241.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Marcus Sarstrand,0.0,183.0,23.8642026009,320.6,96.6,1.4,1.4,25.6,13.8,8.6,4.2,4.2,1.4,3.6,5.0
Raoul Behr,0.0,0.0,25.7768651609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Nikos Rovas,0.0,0.0,25.4459274469,631.75,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Florian Mayer,2.91434689507,190.0,26.2575309217,62.7580299786,901.56745182,4.05139186296,1.70449678801,70.2805139186,43.5053533191,30.0792291221,13.4132762313,11.0107066381,3.54389721627,6.19271948608,467.0
Davide Sanguinetti,1.00338983051,188.0,30.9235605981,74.2711864407,552.945762712,5.28474576271,2.32542372881,77.006779661,43.9457627119,30.7694915254,15.9355932203,11.7186440678,4.20677966102,7.23389830508,295.0
Aljaz Bedene,0.407692307692,181.0,25.0809456115,91.8692307692,639.646153846,7.75384615385,3.03846153846,74.5461538462,41.8153846154,30.8153846154,15.6692307692,11.6076923077,3.67692307692,6.49230769231,130.0
Ben Fatael,0.0,0.0,18.1108829569,789.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mohammed Al Nabhani,0.0,0.0,23.0917180014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Andrey Dernovskiy,0.0,0.0,19.1781469728,868.181818182,15.2727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Hady Habib,0.0,0.0,16.8925393566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Rohan Bopanna,0.0,190.0,28.0292037417,335.875,97.7916666667,4.9375,1.64583333333,32.9583333333,18.2708333333,14.5208333333,7.35416666667,5.27083333333,1.77083333333,2.66666666667,48.0
Igor Kunitsyn,0.810924369748,180.0,27.4553287434,88.268907563,638.659663866,2.71008403361,1.83613445378,74.743697479,44.9159663866,29.1470588235,14.7268907563,11.3613445378,4.40756302521,7.90336134454,238.0
Mohammed Reza Tavakoli,0.0,0.0,28.2518822724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ricardo Mena,0.0,0.0,33.9493497604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Alvaro Raposo De Oliveira,0.0,0.0,19.485284052,761.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Julien Benneteau,3.06500956023,185.0,28.0490195694,74.6959847036,816.508604207,5.61185468451,3.16634799235,77.9196940727,50.4531548757,34.8508604207,13.4455066922,12.1414913958,4.06883365201,6.95602294455,523.0
Valentin Rahmine,0.0,0.0,17.4784394251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Sunil Kumar,0.0,0.0,16.7310061602,1199.0,3.0,2.0,3.0,62.0,32.0,22.0,16.0,10.0,1.0,4.0,1.0
Nenad Zimonjic,0.0,190.0,28.2390262774,383.956521739,71.3043478261,5.86956521739,2.95652173913,56.1304347826,34.9565217391,25.1739130435,10.5652173913,8.60869565217,2.4347826087,4.21739130435,23.0
Vadim Kutsenko,0.0,180.0,24.9064111339,187.233333333,194.833333333,1.16666666667,1.76666666667,31.5333333333,17.1666666667,11.2666666667,6.9,4.56666666667,1.76666666667,3.1,30.0
Javier Garcia Sintes,0.0,0.0,22.3983572895,479.0,48.0,2.0,6.0,54.0,32.0,18.0,7.0,8.0,8.0,13.0,1.0
Juan Giner,0.0,178.0,23.8647501711,315.0,122.0,1.0,1.8,53.6,34.6,21.4,10.4,9.4,2.0,5.2,5.0
Bruno Rosa,0.0,0.0,18.4065708419,1124.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Francesco Piccari,0.0,0.0,29.273100616,320.0,148.0,1.0,0.5,47.5,28.0,14.0,9.0,8.5,3.0,7.5,2.0
Laurent Hild,0.0,0.0,21.1882272416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Michael Kohlmann,0.0833333333333,188.0,28.940109514,221.0625,230.5,5.14583333333,2.89583333333,66.1041666667,40.8125,28.6666666667,11.7916666667,10.25,3.08333333333,5.72916666667,48.0
Cecil Mamiit,0.0504201680672,173.0,27.2163304747,184.848739496,269.285714286,2.73109243697,2.2268907563,63.4537815126,37.0084033613,24.6638655462,12.8403361345,9.70588235294,4.06722689076,6.98319327731,119.0
Mubarak Al Harrasi,0.0,0.0,21.2238193018,1394.5,4.0,2.0,3.0,58.0,31.0,18.5,8.0,7.5,8.0,13.0,2.0
Gilbert Wong,0.0,0.0,20.0219028063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Gonzalo Escobar,0.0,0.0,26.2929500342,452.5,107.875,0.75,1.375,21.875,15.0,10.25,4.125,3.5,1.0,1.75,8.0
Kento Takeuchi,0.0,0.0,26.7597535934,441.0,92.0,0.0,2.0,43.0,18.0,7.0,8.0,7.0,2.0,8.0,1.0
Wisnu Adi Nugroho,0.0,0.0,18.8806753365,1796.66666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Renzo Olivo,0.0,0.0,23.7885770781,170.740740741,363.185185185,4.37037037037,5.66666666667,86.1481481481,50.1481481481,34.7777777778,17.4074074074,12.5185185185,5.03703703704,8.2962962963,27.0
Antonio Veic,0.0,180.0,23.4047912389,188.628571429,290.571428571,2.57142857143,2.62857142857,68.6,42.4,27.4285714286,11.9428571429,10.8857142857,3.77142857143,7.48571428571,35.0
Thanasi Kokkinakis,0.0,0.0,18.9002966005,167.928571429,455.119047619,8.47619047619,3.45238095238,78.4523809524,46.2142857143,34.1428571429,15.6428571429,12.380952381,4.04761904762,6.69047619048,42.0
John Hui,0.0,0.0,23.7857631759,513.25,2.5,0.25,0.75,12.5,5.75,3.25,2.75,2.0,1.0,2.0,4.0
Rihards Emulins,0.0,0.0,19.8877481177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mike Urbanija,0.0,0.0,24.6338124573,580.5,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Felix Mantilla,2.3950617284,180.0,28.0817862505,69.29218107,681.069958848,2.73251028807,2.76131687243,74.683127572,44.9300411523,29.962962963,14.9588477366,11.5432098765,4.26748971193,7.42386831276,243.0
Dmitriy Makeyev,0.0,0.0,20.9652168502,1103.18181818,5.90909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Dennis Van Scheppingen,0.574468085106,185.0,28.3891825768,126.680851064,324.319148936,3.82978723404,4.02127659574,73.3404255319,43.1489361702,30.3829787234,13.9787234043,11.2978723404,4.27659574468,7.34042553191,47.0
Tigran Martirosyan,0.0,0.0,17.8973305955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Juan Albert Viloca Puig,0.0,185.0,27.8364134155,180.916666667,219.5,2.91666666667,2.58333333333,74.8333333333,46.4166666667,30.3333333333,14.6666666667,11.3333333333,4.91666666667,7.83333333333,12.0
Russell Moseley,0.0,0.0,29.3730321697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Faisal Aidil,0.0,0.0,17.5386721424,1335.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chemseddine Belal,0.0,180.0,23.4962354552,553.0,31.0,0.0,1.0,58.0,25.0,15.0,17.0,8.0,5.0,8.0,1.0
Mustafa Azkara,0.0,0.0,30.2669404517,760.0,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Ingo Neumuller,0.0,183.0,24.3093771389,886.0,8.0,0.0,1.0,54.0,22.0,9.0,16.0,8.0,4.0,9.0,1.0
Roberto Carballes Baena,0.0,0.0,22.3566324435,166.04,394.68,3.28,2.88,75.24,45.8,29.8,14.2,11.12,4.4,7.8,25.0
Lamine Ouahab,0.0,185.0,25.183899671,332.258064516,149.322580645,0.612903225806,0.838709677419,24.6451612903,14.0322580645,9.12903225806,4.70967741935,3.90322580645,1.38709677419,2.77419354839,31.0
Tadas Babelis,0.0,0.0,19.6157882728,1351.0,4.0,3.33333333333,2.66666666667,89.0,56.0,34.6666666667,16.3333333333,11.6666666667,6.0,9.33333333333,3.0
Jad Ballout,0.0,0.0,18.803559206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jing Zhu Yang,0.0,0.0,25.0485968515,1076.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alexander Vasquez,0.0,0.0,24.0547570157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Blake Strode,0.0,188.0,24.5995893224,393.0,95.0,8.0,3.0,54.0,32.0,24.0,8.0,10.0,2.0,6.0,1.0
Jerzy Janowicz,4.71505376344,203.0,22.9921176393,73.1720430108,1067.92473118,7.98924731183,4.44086021505,71.9139784946,44.5967741935,33.1612903226,13.3870967742,11.2580645161,3.63440860215,5.72580645161,186.0
Sun Yong Kim Jr,0.0,0.0,18.5681040383,825.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Roman Margoulis,0.0,0.0,20.1889117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Juan Pablo Barboza,0.0,0.0,21.9986310746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bertrand Madsen,0.0,0.0,31.486196669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Stefano Ianni,0.0,0.0,25.4757015743,559.0,43.0,1.5,4.0,54.0,30.0,20.5,10.5,7.5,4.5,7.0,2.0
Daniel Smethurst,0.0,0.0,23.6933607118,234.0,205.0,4.0,6.0,97.0,58.0,43.0,20.0,15.0,5.0,8.0,1.0
Baris Erguden,0.0,0.0,25.1293634497,1395.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Romano Tatuhey,0.0,0.0,23.379192334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Jason Engelhardt,0.0,0.0,25.158110883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bruno Soares,0.0,180.0,26.1752224504,173.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Kristian Pless,0.0597014925373,188.0,22.7253465731,127.582089552,365.932835821,5.58955223881,3.25373134328,72.1268656716,43.9626865672,30.776119403,14.2910447761,11.3059701493,3.88059701493,6.47014925373,134.0
Yen Hsun Lu,0.643243243243,180.0,27.6179366225,73.3567567568,710.962162162,3.92432432432,3.12162162162,69.3486486486,42.0324324324,29.5810810811,13.727027027,10.8648648649,3.78108108108,6.36756756757,370.0
Tiago Fernandes,0.0,0.0,17.2183436003,937.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alejandro Falla,0.0462633451957,185.0,26.9635919433,106.829181495,553.476868327,3.02846975089,2.41637010676,71.6512455516,42.4697508897,28.3487544484,14.4056939502,10.9323843416,4.13879003559,7.23131672598,281.0
Erhan Oral,0.0,0.0,29.3798767967,955.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Thomas Schoorel,0.0,203.0,22.155905392,137.555555556,406.666666667,3.0,1.33333333333,46.2222222222,29.7777777778,20.1111111111,7.66666666667,7.0,2.77777777778,4.66666666667,9.0
Ramon Delgado,0.407079646018,185.0,27.4184611098,159.362831858,297.734513274,4.28318584071,2.12389380531,59.6460176991,36.4247787611,24.7256637168,11.4159292035,9.32743362832,2.87610619469,5.32743362832,113.0
Rachid Baba Aissa,0.0,0.0,21.7905544147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Daniel Dutra Da Silva,0.0,175.0,20.5995893224,263.0,274.0,0.0,3.0,72.0,38.0,24.0,16.0,10.0,5.0,9.0,1.0
Austin Smith,0.0,0.0,22.6830937714,0.0,0.0,1.0,4.0,48.0,30.0,15.0,10.0,8.0,3.0,7.0,1.0
Mauricio Estivariz,0.0,0.0,21.2594113621,950.0,10.7142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Pavel Baranov,0.0,0.0,19.3456536619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Sarvar Ikramov,0.0,0.0,23.8018480493,838.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Andrei Medvedev,0.647058823529,193.0,26.0726335709,52.25,821.147058824,4.67647058824,3.01470588235,75.2352941176,43.6617647059,30.0588235294,14.9264705882,11.1470588235,5.20588235294,8.26470588235,68.0
Radomir Vasek,0.0,188.0,27.832991102,470.0,44.0,2.0,4.0,58.0,32.0,18.0,12.0,9.0,3.0,7.0,1.0
Ahmad Rabeea Muhammad,0.0,0.0,20.2231348392,561.714285714,0.571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Alexander Sadecky,0.0,193.0,23.3876340406,425.0,83.0,6.66666666667,5.0,76.0,45.3333333333,34.0,13.6666666667,13.0,2.0,5.33333333333,3.0
Harri Heliovaara,0.0,0.0,23.7996235455,482.5625,72.625,2.1875,1.125,35.125,21.1875,14.9375,6.25,5.3125,1.625,3.0,16.0
Nomi Qamar,0.0,0.0,20.2995208761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Eric Taino,0.0,175.0,28.2797906869,247.806451613,163.35483871,4.1935483871,2.29032258065,60.6451612903,32.1612903226,22.6774193548,14.8387096774,9.41935483871,2.61290322581,4.67741935484,31.0
Johann Coles,0.0,0.0,20.9609856263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Louis Wessels,0.0,0.0,17.8726899384,0.0,0.0,2.5,4.5,62.0,44.0,28.0,7.0,10.5,3.0,6.5,2.0
Solon Peppas,0.0,0.0,26.5693676618,268.692307692,153.076923077,0.0769230769231,0.0769230769231,4.30769230769,3.07692307692,1.46153846154,0.461538461538,0.538461538462,0.230769230769,0.615384615385,13.0
Patricio Alvarado,0.0,0.0,17.4866529774,1222.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Robert Lindstedt,0.0,190.0,32.1642710472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Gwinyai Tongoona,0.0,0.0,31.1682409309,1011.2,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Tim Smyczek,0.0816326530612,175.0,25.9802483622,136.448979592,467.867346939,4.30612244898,2.62244897959,82.193877551,50.8673469388,33.6428571429,15.8979591837,12.5306122449,4.83673469388,8.27551020408,98.0
Eduardo Schwank,1.03846153846,183.0,23.5563628705,86.4807692308,683.980769231,3.69230769231,2.94230769231,74.1442307692,46.3173076923,31.1923076923,14.2403846154,11.3557692308,3.89423076923,6.76923076923,104.0
Christian Lindell,0.0,0.0,21.8976728268,324.3125,164.3125,2.875,2.6875,51.8125,32.1875,19.5625,7.625,7.9375,3.3125,6.75,16.0
Juan Carlos Saez,0.0,0.0,23.9945242984,239.0,201.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Andres Pedroso,0.0,0.0,25.5605749487,286.0,114.0,2.0,0.0,41.0,26.0,8.0,8.0,7.0,3.0,8.0,1.0
Jurgen Melzer,4.08052708638,183.0,27.5339440384,55.3045387994,1046.42606149,4.95754026354,2.63982430454,73.729136164,45.2781844802,31.6002928258,14.3894582723,11.4216691069,3.86676427526,6.42166910688,683.0
Marcel Felder,0.0,0.0,23.5713822544,453.026315789,100.157894737,0.210526315789,0.131578947368,7.02631578947,4.78947368421,3.0,1.26315789474,1.13157894737,0.5,0.815789473684,38.0
Ismar Gorcic,0.0,0.0,26.8911704312,579.666666667,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Alan Mackin,0.0,183.0,23.6519279033,280.133333333,131.6,1.73333333333,2.93333333333,68.0,44.6666666667,27.5333333333,9.46666666667,9.8,4.86666666667,8.86666666667,15.0
Rami Osman,0.0,0.0,20.0068446269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Frederik Nielsen,0.0,190.0,27.9135621394,392.510204082,134.510204082,1.36734693878,1.36734693878,32.2448979592,19.5102040816,12.612244898,6.22448979592,4.9387755102,2.18367346939,3.67346938776,49.0
Mathias Hellstrom,0.0,0.0,26.3682409309,534.0,37.0,3.0,3.0,63.0,32.0,16.0,13.0,11.0,3.0,10.0,1.0
Brian Vahaly,0.984375,183.0,23.9878080082,106.890625,374.984375,2.65625,3.3125,79.15625,51.09375,32.78125,14.4375,12.140625,4.359375,7.703125,64.0
Guillermo Carter,0.0,0.0,25.5770020534,904.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Olivier Sajous,0.0,0.0,23.4609476006,498.444444444,29.4444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Jose Bernard,0.0,0.0,22.932238193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Esat Tanik,0.0,0.0,20.4681724846,692.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Greg Jones,0.0,190.0,22.4722792608,282.285714286,180.285714286,7.42857142857,2.85714285714,77.5714285714,47.1428571429,31.8571428571,14.8571428571,12.1428571429,6.28571428571,9.85714285714,7.0
Leroy Tujeehut,0.0,0.0,22.2751540041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Komlavi Loglo,0.0,183.0,23.613963039,611.0,36.0,1.0,0.0,44.0,29.0,17.0,9.0,8.0,1.0,4.0,1.0
Juan Borba,0.0,0.0,17.8795345654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Naser Al Obaidly,0.0,0.0,18.4948665297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Gert Vilms,0.0,0.0,20.8980150582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Kerlin Leon Zamora,0.0,0.0,19.3963039014,656.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Luke Saville,0.0,0.0,20.6690622861,219.625,239.25,5.5,5.375,99.5,59.875,38.5,20.0,15.0,6.5,10.75,8.0
Fredrik Ask,0.0,0.0,19.6577686516,1428.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Oliver Gross,0.0,185.0,28.4770704996,168.666666667,248.0,3.25,2.66666666667,73.25,43.8333333333,29.3333333333,13.9166666667,11.5,3.58333333333,7.41666666667,12.0
Todd Woodbridge,0.0,178.0,30.1131644992,142.541666667,146.791666667,2.70833333333,4.04166666667,76.8333333333,46.4583333333,31.0416666667,14.4583333333,11.625,4.66666666667,7.83333333333,24.0
Luis Haddock,0.0,0.0,22.0602327173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Yaraslau Shyla,0.0,0.0,23.1930184805,596.25,59.5,4.75,3.0,84.25,56.75,41.75,13.5,13.75,4.25,7.0,4.0
Mathieu Montcourt,0.0,183.0,22.6746976956,148.733333333,339.066666667,1.66666666667,3.86666666667,69.9333333333,45.0,27.5333333333,10.9333333333,11.2666666667,3.73333333333,8.06666666667,15.0
Federico Gaio,0.0,0.0,23.9000684462,229.0,246.0,1.0,3.5,57.0,36.0,23.5,6.5,9.5,3.5,7.5,2.0
Ryan Henry,0.0,183.0,18.2477754962,578.0,30.0,10.0,5.0,131.0,74.0,49.0,27.0,21.0,3.0,11.0,1.0
Jonas Bjorkman,1.93193717277,183.0,31.6907733712,59.0654450262,680.963350785,4.18586387435,2.89528795812,74.6544502618,43.8612565445,30.8219895288,15.3272251309,11.502617801,4.0942408377,6.88219895288,382.0
Izak Van Der Merwe,0.0,196.0,26.2513689254,249.34375,262.03125,3.0625,1.9375,32.625,18.28125,13.71875,7.4375,5.15625,1.4375,2.4375,32.0
Jean Jacques Rakotohasy,0.0,0.0,21.6632443531,0.0,0.0,4.0,3.0,40.0,25.0,18.0,10.5,7.0,1.0,1.5,2.0
Herkko Pollanen,0.0,0.0,19.2653433722,729.0,26.6666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Lee Childs,0.0,0.0,20.3358430299,381.416666667,77.9166666667,4.83333333333,3.25,76.0833333333,42.5833333333,28.75,16.0833333333,11.1666666667,5.66666666667,9.08333333333,12.0
Lorenzo Sonego,0.0,0.0,20.9965776865,333.0,146.0,5.0,4.0,130.0,80.0,47.0,24.0,16.0,9.0,15.0,1.0
Richard Krajicek,1.28947368421,196.0,29.6744119025,118.342105263,726.75,14.0,4.43421052632,80.25,44.6578947368,36.3815789474,18.3684210526,13.0,3.19736842105,4.92105263158,76.0
Leonardo Kirche,0.0,188.0,19.7097878166,682.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Filip Prpic,0.0,173.0,26.0547570157,474.642857143,109.857142857,2.71428571429,2.85714285714,69.8571428571,43.6428571429,27.8571428571,12.3571428571,10.1428571429,4.64285714286,7.92857142857,14.0
Kevin Krawietz,0.0,190.0,19.0070727812,476.333333333,36.6666666667,2.0,3.0,57.6666666667,32.6666666667,20.6666666667,9.0,9.33333333333,2.33333333333,7.0,3.0
Jack Brasington,0.0,188.0,25.7264887064,164.9,244.8,4.9,9.3,108.8,61.2,42.9,20.3,16.2,7.4,12.1,10.0
Todd Reid,0.0,180.0,19.6143432961,172.027777778,205.722222222,3.19444444444,1.75,71.4444444444,50.3055555556,32.25,10.2222222222,11.0,4.61111111111,7.72222222222,36.0
Gregoire Burquier,0.0,0.0,30.2067077344,205.0,248.0,6.0,2.0,65.0,49.0,27.0,5.0,9.0,9.0,14.0,1.0
Miguel Gallardo Valles,0.0,0.0,24.907871321,332.171428571,117.657142857,0.171428571429,0.171428571429,7.4,4.74285714286,2.82857142857,1.22857142857,1.14285714286,0.485714285714,0.971428571429,35.0
Minh Quan Do,0.0,0.0,27.3921971252,474.0,0.666666666667,0.0,1.0,17.3333333333,9.0,6.0,2.0,3.0,0.333333333333,2.0,3.0
Diego Moyano,0.0,175.0,27.4045174538,197.0,208.5,3.5,3.5,92.5,53.0,35.0,21.5,15.0,4.0,9.0,2.0
Alex Llompart,0.0,0.0,22.8545827889,929.454545455,4.81818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Nikola Cacic,0.0,0.0,25.6125941136,761.0,27.0,1.0,2.5,77.0,44.5,26.5,15.0,11.5,4.0,8.0,2.0
Joao Domingues,0.0,0.0,21.4045174538,599.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Miloslav Mecir,0.0,0.0,26.135523614,219.5,222.75,6.25,2.25,86.75,53.75,39.0,17.5,13.25,4.0,5.75,4.0
Colin Fleming,0.0,188.0,26.2496007301,645.333333333,46.3333333333,3.66666666667,1.66666666667,50.3333333333,31.3333333333,23.3333333333,6.33333333333,8.0,2.66666666667,5.0,3.0
Nicolas Thomann,0.0,183.0,30.2772258912,211.810810811,201.324324324,6.86486486486,3.45945945946,74.7297297297,41.5405405405,31.2162162162,16.8918918919,11.8378378378,3.97297297297,6.54054054054,37.0
Daniel Willman,0.0,0.0,26.8473648186,357.5,84.5,1.0,2.0,29.0,18.5,9.5,4.5,4.5,3.0,5.5,2.0
Caio Zampieri,0.0,183.0,23.1266255989,390.857142857,167.285714286,3.28571428571,2.0,56.4285714286,33.5714285714,22.1428571429,11.1428571429,8.71428571429,2.42857142857,5.0,7.0
Yuri Schukin,0.0,188.0,28.3624610236,178.944444444,268.944444444,2.33333333333,2.38888888889,69.5555555556,42.6666666667,28.1388888889,13.5555555556,10.5833333333,3.86111111111,6.69444444444,36.0
John Isner,6.31047619048,206.0,27.3769746749,37.1733333333,1714.44380952,16.8361904762,2.20761904762,85.259047619,58.5371428571,45.6628571429,14.979047619,13.7314285714,2.93523809524,4.12952380952,525.0
Marius Copil,0.0,193.0,23.3491863726,199.677419355,287.693548387,8.48387096774,2.12903225806,60.8387096774,34.8387096774,26.0806451613,13.4838709677,9.79032258065,2.75806451613,4.43548387097,62.0
Hernan Gumy,1.15151515152,188.0,28.2234252173,77.9393939394,479.484848485,2.75757575758,3.33333333333,70.8181818182,44.5757575758,30.0303030303,12.6363636364,11.0606060606,3.87878787879,7.09090909091,33.0
Javier Marti,0.0,0.0,19.9134417943,213.0,241.461538462,2.46153846154,2.92307692308,76.6923076923,48.4615384615,28.9230769231,13.3076923077,11.5384615385,3.92307692308,8.53846153846,13.0
Francisco Yim Kim,0.0,0.0,21.3908281999,0.0,0.0,2.0,4.0,46.0,27.0,14.0,4.0,6.0,8.0,13.0,1.0
Alberto Martin,1.10669975186,175.0,25.485993991,62.2382133995,638.265508685,2.11662531017,3.45657568238,72.6848635236,43.6699751861,28.7593052109,14.3498759305,11.205955335,4.35980148883,7.65756823821,403.0
Christian Sigsgaard,0.0,0.0,18.9623545517,0.0,0.0,3.0,3.0,81.0,55.5,38.0,13.0,13.5,4.5,7.5,2.0
Markos Kalovelonis,0.0,0.0,19.7823408624,690.5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Francis Casey Alcantara,0.0,0.0,20.6647501711,245.9,1.1,1.2,0.8,15.3,7.2,4.6,4.0,2.6,0.3,1.3,10.0
Thomas Dupre,0.0,0.0,27.5619438741,0.0,0.0,4.0,5.0,78.0,49.0,33.0,11.0,11.0,6.0,9.0,1.0
Issam Al Tawil,0.0,0.0,22.8309377139,984.142857143,8.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
