name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,wfactor
Benjamin Lock,0.0,0.0,22.1752224503,953.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00991500870667
Jesus Francisco Felix,0.0,0.0,26.6766838653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885120087446
Irakli Labadze,0.0948730510157,188.0,21.5567741359,89.2397350606,430.989441677,4.67428053324,5.27696939299,72.144071161,43.6594952804,29.5733022521,12.9279778355,10.9486715904,4.74307347028,8.02750849876,183.556374625
Coenie Van Wyk,0.0,0.0,33.839835729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183156388887
Hillel Rousseau,0.0,0.0,17.7070499658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0269517879963
Nickolai Dyachok,0.0,0.0,20.5886379192,1055.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Francisco Clavet,1.81077701107,183.0,32.0688158138,51.4509403904,724.76983204,2.12255042517,1.81229925592,74.5569252995,47.5912546571,31.6586324073,14.322276803,11.4628028254,4.0649895303,6.87259136074,667.571701599
Lucas Arnold Ker,0.0,180.0,26.1894920974,524.955058475,22.0199269494,1.76159415596,0.0,48.4438392888,25.5431152614,14.9735503256,6.16557954585,7.04637662382,7.04637662382,12.3311590917,8.38905609893
Thomas Blake,0.0,0.0,25.7622903398,342.440866264,84.864348842,5.1553624035,2.71115939913,69.757100772,46.4343473816,32.9901443773,11.2450721886,11.1115939913,5.03391278951,7.47811579388,12.8731273138
Juho Paukku,0.0,0.0,20.5817215484,814.598277014,20.5471385694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34068308106
Benjamin Becker,1.62910561848,178.0,26.777282208,80.8268296066,609.83765526,9.32792236869,3.0125666358,77.2379033957,41.9100677873,32.2815350457,18.1877803344,12.2315155573,3.64182830365,5.77362508857,23.6717974426
Xin Gao,0.0,0.0,20.3641341547,944.0,14.0,6.0,5.0,87.0,43.0,30.0,23.0,14.0,4.0,8.0,0.00673794699909
Jozef Kovalik,0.0,0.0,23.6165367986,158.617213268,393.72872443,3.59255402423,3.13104096663,92.0995504366,56.4672524064,37.3225994585,18.846763325,14.0580033981,5.11600679618,8.48693398768,0.0358713061589
Andrey Golubev,0.764747954304,185.0,22.5246223729,96.7981548313,661.994764507,4.29171880616,3.01517814675,67.1064887857,38.7787701161,27.0661642854,14.1731162223,10.2192821409,3.43739478082,5.93608303152,6.38309187606
John El Khoury,0.0,0.0,20.5503080082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367879441171
Christopher Diaz Figueroa,0.0,0.0,20.2908161689,863.571401126,23.6745494546,0.0949765028621,0.147549520955,2.03804097859,1.13011396788,0.766780200733,0.466879125591,0.277898993886,0.16474956898,0.224980905498,0.409194322852
Trevor Spracklin,0.0,190.0,24.6516084873,882.0,9.0,3.0,7.0,45.0,20.0,16.0,4.0,6.0,6.0,10.0,2.71828182846
Michihisa Onoda,0.0,0.0,23.3689287287,540.20615247,43.7070225655,4.87438852264,3.0,69.5468203177,42.5738993407,26.4482878634,11.6995108181,9.74877704527,3.82512229547,7.69951081811,15.5439015843
Tarek Ben Soltane,0.0,0.0,18.46954141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Anil Yuksel,0.0,0.0,26.6255989049,507.0,73.0,1.0,1.0,65.0,40.0,25.0,11.0,8.0,6.0,9.0,0.000911881965555
Ivan Vajda,0.0,0.0,22.3262033458,344.065214585,97.2091881592,0.423883115234,4.88058442383,35.8536948291,20.0328181934,9.42388311523,7.24475975098,6.7283506543,0.423883115234,3.78805844238,12.8256197558
Rodolphe Cadart,0.0,183.0,22.4362480361,260.622374871,122.854190166,4.17284042171,3.68045776453,84.9130441545,52.6966890588,32.0445233129,16.5993779783,13.4251805518,5.73744064913,10.5493025435,20.6317293096
Yordan Kanev,0.0,0.0,20.7471424632,594.182614434,52.9197346585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14176473205
Yassine Idmbarek,0.0,0.0,25.336678024,899.981210279,12.5000134353,0.0,0.893677578547,13.8007543862,10.4552708208,5.07288615958,1.23122094337,1.55426557169,0.911086541784,1.8811730366,0.14238367575
Hyun Joon Kim,0.0,0.0,22.6441179561,954.56868016,9.93217442098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117889775624
Radoslav Lukaev,0.0,0.0,21.1265450086,308.578147128,100.459262071,4.17025248376,3.12768936282,50.7380718857,22.9363886607,17.3760520157,11.12067329,6.60289976595,3.82273144344,5.56033664501,7.82192015197
Ivan Cerovic,0.0,190.0,23.9370294319,355.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367879441171
Young Jun Kim,0.0,0.0,24.1787857041,372.582442802,81.0820949372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08641834615
Marco Mirnegg,0.0,180.0,22.7885010267,316.0,109.0,0.0,2.0,28.5,14.0,8.5,4.5,4.0,5.0,7.5,0.735758882343
Tommy Haas,3.93256023633,188.0,23.4912176156,28.4378994549,1463.44365611,6.64963962065,3.85368434697,71.4394895063,39.5290598523,29.6959616925,16.4864096808,11.3908754015,3.49708686035,5.64102902123,914.599857809
Duck Hee Lee,0.0,0.0,18.674880219,139.0,431.0,3.0,6.0,138.0,69.0,49.0,32.0,20.0,4.0,8.0,0.000911881965555
Rafael Nadal,2.88741034852,185.0,19.2005584872,50.8824273392,2929.20375185,2.14555528472,1.54921688931,68.5130621959,48.0863708214,33.2858163166,11.3638685133,11.0476587373,3.5499359639,5.51924124013,173.769512676
Noah Rubin,0.0,0.0,19.4059361083,423.14658006,135.382294095,1.89581087572,3.05064214489,89.899304388,53.6900862296,35.0473931563,18.3697007866,13.8744237459,5.0,9.29403526237,0.0326509231659
