name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,wfactor
Sam Barry,0.0,0.0,21.342232662,574.924856069,56.6328270585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144744185344
Marc Rosset,1.19249045933,201.0,30.262028063,60.5026056023,703.916655874,9.80105842553,6.50446471135,74.4134523581,42.2635170899,32.8137411634,15.0930231916,11.8055143382,3.71034669548,5.91426182056,106.49980384
Bob Borella,0.0,0.0,19.9397672827,1149.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Philippos Tsangaridis,0.0,0.0,17.8063606499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0452674268851
Musaad Al Jazzaf,0.0,0.0,18.0313666417,101.573912931,0.252671425203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60685304792
Marcus Sarstrand,0.0,183.0,23.4710887349,329.909740221,91.8428250518,2.57650563235,2.06498144437,38.4904095371,19.9894426745,13.0502604354,6.7064685211,6.45070642711,1.80921935038,4.98111530754,2.47151776469
Raoul Behr,0.0,0.0,25.1149955308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.60685304792
Nikos Rovas,0.0,0.0,24.3290197582,655.974260498,22.4427456689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65664011629
Florian Mayer,1.08405122459,190.0,22.2306945333,63.0085321384,671.685053587,3.94690938822,1.99728736484,70.9596273079,43.5874228827,29.8168500414,13.3610191641,11.0883285646,3.4384644535,6.33548658566,17.3272789848
Davide Sanguinetti,1.26994537052,188.0,29.2360515691,73.5076172395,538.69386474,5.81676671886,2.62712318117,76.1904398575,42.4693035973,30.0865679675,15.8678717964,11.5650095863,4.19675678445,7.24254156578,123.407235674
Aljaz Bedene,0.413896095272,181.0,23.7726971135,124.87957843,523.771123254,6.57721078917,2.88969627928,64.95720346,36.5972153272,26.7960146037,13.6861000273,10.0875355553,3.19517132754,5.6847865746,0.202268658194
Ben Fatael,0.0,0.0,18.1108829569,789.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000911881965555
Mohammed Al Nabhani,0.0,0.0,23.0917180014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14652511111
Andrey Dernovskiy,0.0,0.0,18.7682094585,935.98753213,11.1897237409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83939720586
Hady Habib,0.0,0.0,16.8925393566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00182376393111
Rohan Bopanna,0.0,190.0,24.2394205354,299.775385957,84.7928522153,2.16072830444,0.586631291103,17.1270790718,8.43796976974,7.00851950885,4.06007110466,2.69386913713,1.20673113953,1.77287553567,3.64376552026
Igor Kunitsyn,0.631862945228,180.0,24.944621146,115.518580392,463.559472294,2.55229725295,2.34740176725,75.8208626554,43.1601226763,27.7498044481,16.218718174,11.4449486309,4.50610395648,8.26779407743,7.73485553802
Mohammed Reza Tavakoli,0.0,0.0,28.2518822724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ricardo Mena,0.0,0.0,31.676876253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38619508006
Alvaro Raposo De Oliveira,0.0,0.0,19.485284052,761.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00673794699909
Julien Benneteau,0.702480861272,185.0,23.3970462374,124.207571534,460.584269299,4.04874511492,2.95280791077,74.4664811099,46.9997185973,30.9484997611,12.6825124399,11.4234835587,4.54565714151,8.04106411275,20.901714796
Valentin Rahmine,0.0,0.0,17.4784394251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366312777775
Sunil Kumar,0.0,0.0,16.7310061602,1199.0,3.0,2.0,3.0,62.0,32.0,22.0,16.0,10.0,1.0,4.0,1.0
Nenad Zimonjic,0.0,190.0,25.7027575739,294.522776171,108.058856781,5.65017930115,3.25747532875,62.9106265702,38.5148646605,27.526167507,12.4868226485,9.61971252013,3.50948754623,5.51025783624,9.77211289571
Vadim Kutsenko,0.0,180.0,24.3530163369,183.204581328,187.579607334,1.07503585029,1.71320153539,28.2150810595,15.0897640626,9.83037345366,6.3146947681,4.05026161285,1.48260205789,2.70385002639,19.1884385849
Javier Garcia Sintes,0.0,0.0,22.3983572895,479.0,48.0,2.0,6.0,54.0,32.0,18.0,7.0,8.0,8.0,13.0,1.0
Juan Giner,0.0,178.0,23.3412519056,336.484015895,106.910036455,0.74423790601,1.8511524188,58.0502604354,37.5156878715,21.5534572564,11.0649814444,10.0649814444,2.25576209399,6.17189595716,2.47151776469
Bruno Rosa,0.0,0.0,18.4065708419,1124.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135335283237
Francesco Piccari,0.0,0.0,29.273100616,320.0,148.0,1.0,0.5,47.5,28.0,14.0,9.0,8.5,3.0,7.5,0.0366312777775
Laurent Hild,0.0,0.0,21.1882272416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367879441171
Michael Kohlmann,0.0738692096993,188.0,27.8616175561,160.020362983,238.98513381,4.96820559783,2.83830138539,61.5882845057,37.8974784573,26.4619479381,10.6095794319,9.55308896101,3.15699798821,5.81501851015,19.9205835649
Cecil Mamiit,0.0355225924611,173.0,25.0885026374,119.794200653,336.776185269,3.63678158219,2.78972756555,80.7397697648,46.628075864,31.1953342504,16.5507827784,12.2606078284,5.2324114695,8.88002252338,62.1372623478
Mubarak Al Harrasi,0.0,0.0,21.2238193019,1394.5,4.0,2.0,3.0,58.0,31.0,18.5,8.0,7.5,8.0,13.0,0.000670925255805
Gilbert Wong,0.0,0.0,18.7812497665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0565250153669
Gonzalo Escobar,0.0,0.0,25.7711531268,537.385238246,90.7318697266,0.261091319824,0.777753066625,13.8959620808,9.55856827722,6.48433309534,2.63234484682,2.19045451176,0.497664583239,0.908298726537,0.00770908726024
Kento Takeuchi,0.0,0.0,26.7597535934,441.0,92.0,0.0,2.0,43.0,18.0,7.0,8.0,7.0,2.0,8.0,0.000911881965555
Wisnu Adi Nugroho,0.0,0.0,18.8806753365,1796.66666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01487251306
Renzo Olivo,0.0,0.0,23.439442083,195.079479924,312.761305261,3.59582252688,5.94550389032,80.2469088943,46.6683900471,32.6449176109,16.4013105244,11.742340048,4.5413264172,7.5005503013,0.0130924263169
Antonio Veic,0.0,180.0,22.4335591439,212.405497004,265.813841161,3.46518851261,2.88087436055,74.5832979797,44.2991381951,29.1140152796,14.1621935282,11.4969289694,4.98344590657,8.70875758404,0.216684119979
Thanasi Kokkinakis,0.0,0.0,18.8323563833,182.079303967,443.960616147,8.46418616583,3.38869739457,77.8183865979,46.0076217517,33.9251841054,15.4359272718,12.3314688,4.25222414076,6.92929356815,0.0392894934267
John Hui,0.0,0.0,23.6108481944,276.068369036,1.34470710685,0.365529289315,1.09658786795,18.2764644658,8.40717365425,4.7518807611,4.02082218247,2.92423431452,1.46211715726,2.92423431452,2.73575888234
Rihards Emulins,0.0,0.0,19.8877481177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497870683679
