name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,hand,wfactor
Wayne Ferreira,3.26113451092,185.0,30.0586399495,37.1642988177,985.317905087,7.72945473397,2.80614863045,79.9278340386,43.5749747755,32.4671114943,18.7234371878,12.4530299688,3.86335765551,6.22550350144,1,447.742717805
Jaak Poldma,0.0,0.0,20.724780191,537.516143176,2.7489434112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.68157301477
Thomas Johansson,4.18012572437,180.0,27.7289274958,45.9451807292,1081.69958619,8.23407875095,2.62013136966,75.3817412286,39.9693750193,30.5732553548,18.1864017714,11.8565529074,3.7127755926,5.91495734432,1,597.020243482
Matteo Viola,0.0,0.0,25.657053231,146.775653948,374.255281004,1.9068132017,5.14999768316,73.0321426483,44.1422230729,26.7612232017,12.2457765934,10.9471204562,5.63589202954,10.1309019408,1,3.12595147799
Jacobo Diaz,0.0,173.0,24.6524589668,98.631971878,419.06822659,2.94465939013,3.8560250652,80.5269269378,50.2189872499,32.4543611407,15.0558826298,12.353912156,5.32059101165,9.12121871587,1,99.948726423
Marco Osorio,0.0,0.0,27.9192334018,550.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.8731273138
Karim Mohamed Maamoun,0.0,0.0,21.6964083829,630.475893251,40.2515891066,0.21813944004,1.74511552032,10.5797628419,5.45348600099,3.38116132061,1.19976692022,1.30883664024,1.19976692022,2.1813944004,2,1.01589293841
Tomas Tenconi,0.0,178.0,23.4685144402,205.419963641,194.892628896,2.74897389284,4.25513053581,79.6788706261,46.794122608,30.3991135183,14.7489738928,10.1316696966,5.12346083926,8.37859137507,1,3.98364939528
Christopher Kas,0.0,188.0,29.9294084626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.651225482112
David Kvernadze,0.0,0.0,18.8090030024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.22140275816
Fernando Gonzalez,5.9485395014,183.0,23.9670304269,46.6144160741,1297.22240176,6.55982596727,4.49513789089,75.4683346559,45.446967556,33.6726790555,15.2086467832,11.8732179973,3.60737122905,5.74008132842,1,591.198767934
Benjamin Lock,0.0,0.0,22.1752224504,953.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.541341132946
Nomi Qamar,0.0,0.0,20.0327000563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7.98228994284
Irakli Labadze,0.148930074211,188.0,22.0199097418,93.6954281174,433.094803834,4.39982083379,5.23769121899,69.6624372171,42.3788233582,28.5705421802,12.4111007989,10.5687117584,4.56089009113,7.74505101423,2,187.190102495
Coenie Van Wyk,0.0,0.0,33.839835729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.301194211912
Spencer Newman,0.0,0.0,23.7371663244,0.0,0.0,0.0,11.0,101.0,76.0,36.0,9.0,15.0,5.0,14.0,1,0.0907179532894
Nickolai Dyachok,0.0,0.0,20.5886379192,1055.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.49182469764
Francisco Clavet,1.88778971312,183.0,32.3206377609,55.1116518069,706.767819758,2.09950627623,1.78059715449,74.4737071009,47.448326705,31.3461344053,14.3579084295,11.4318114523,4.10891468837,6.97709242633,2,340.736542902
Lucas Arnold Ker,0.0,180.0,26.9026278802,411.224790752,17.2493620282,1.37994896226,0.0,37.948596462,20.0092599527,11.7295661792,4.82982136789,5.51979584902,5.51979584902,9.65964273579,1,3.93968458662
Thomas Blake,0.0,0.0,25.8710348293,337.172029304,86.4855294448,5.29046078707,2.67738480323,68.6763137034,45.7250808679,32.112004884,10.806002442,10.7738480323,4.62861763879,7.24169362263,1,10.2721245968
Juho Paukku,0.0,0.0,21.9002274383,825.168460804,21.7220886491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.42481802067
Benjamin Becker,1.21392678295,178.0,28.2036676995,74.9659187423,682.566408677,8.30307065219,2.87379654905,74.7743660531,41.2580845086,31.2647567348,16.9620889035,11.8102625415,3.57819973984,5.83488781763,1,135.680380738
Xin Gao,0.0,0.0,20.3641341547,944.0,14.0,6.0,5.0,87.0,43.0,30.0,23.0,14.0,4.0,8.0,2,0.165298888222
Jozef Kovalik,0.0,0.0,23.6790508605,153.950253961,406.113969186,3.72080926359,3.03341384413,93.7783540921,57.8282893495,38.0902166373,19.2238720138,14.1900871521,5.38017430412,8.73770169449,1,1.80331287187
Andrey Golubev,0.661404742866,185.0,23.3480537556,86.9549044859,720.040924502,3.88932340037,2.95893838319,67.3150493913,39.3206655643,27.0807816417,13.9535065108,10.2458877014,3.65590223034,6.26222273134,1,57.2929121085
John El Khoury,0.0,0.0,20.5503080082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.818730753078
Christopher Diaz Figueroa,0.0,0.0,21.3956283625,767.320596199,37.6221479105,0.476798295144,0.788265574207,10.6510400118,5.81191567761,3.99063466943,2.45927158895,1.45622558376,0.908571138863,1.22860111186,2,4.69132850521
Trevor Spracklin,0.0,190.0,24.6516084873,882.0,9.0,3.0,7.0,45.0,20.0,16.0,4.0,6.0,6.0,10.0,1,1.82211880039
Michihisa Onoda,0.0,0.0,23.5629619163,487.923729143,52.9491876211,4.69917715072,2.95513285726,70.1791508939,42.8687120125,26.8819591624,11.4067934353,10.1162285852,3.93195199823,8.12466771906,1,8.99148248583
Tarek Ben Soltane,0.0,0.0,18.46954141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.49182469764
Anil Yuksel,0.0,0.0,26.6255989049,507.0,73.0,1.0,1.0,65.0,40.0,25.0,11.0,8.0,6.0,9.0,2,0.0907179532894
Ivan Vajda,0.0,0.0,22.539480369,308.316170237,115.428398089,0.620847546906,3.89576226547,32.9977105699,18.6540671717,9.62084754691,5.96449094511,6.13745735928,0.620847546906,3.68957622655,1,7.16936368544
Rodolphe Cadart,0.0,183.0,23.4325298858,259.272262664,109.227284585,3.42828480621,3.53274503472,77.5429054225,47.8783672462,30.2354206817,15.356620829,12.0376764042,5.1307332685,8.91887803052,2,12.4044765963
